year,ine_code,name,province_id,autonomous_region_id,population,debt,budget_line_amount,budget_line_amount_per_inhabitant,total_budget,total_budget_per_inhabitant
2015,44001,Ababuj,44,2,73,25000.0,,,0.0,0.0
2015,40001,Abades,40,7,863,0.0,4000.0,4.63,671800.0,778.44
2015,10001,Abadía,10,11,336,0.0,,,240747.81,716.52
2015,27001,Abadín,27,12,2612,0.0,,,1551451.95,593.96
2015,48001,Abadiño,48,16,7516,2216000.0,,,0.0,0.0
2015,31001,Abáigar,31,15,97,0.0,,,0.0,0.0
2015,9001,Abajas,9,7,29,0.0,200.0,6.9,89756.0,3095.04
2015,26001,Ábalos,26,17,252,0.0,200.0,0.79,654000.0,2595.23
2015,20001,Abaltzisketa,20,16,329,11000.0,,,0.0,0.0
2015,19001,Abánades,19,8,63,0.0,,,0.0,0.0
2015,30001,Abanilla,30,14,6347,4991000.0,960000.0,151.25,5348262.34,842.65
2015,50001,Abanto,50,2,113,0.0,,,234000.0,2070.79
2015,48002,Abanto y Ciérvana-Abanto Zierbena,48,16,9635,3087000.0,,,0.0,0.0
2015,30002,Abarán,30,14,13179,9650000.0,813545.0,61.73,8757649.99,664.51
2015,34001,Abarca de Campos,34,7,43,0.0,,,54000.0,1255.82
2015,31002,Abárzuza/Abartzuza,31,15,556,50000.0,,,0.0,0.0
2015,31003,Abaurregaina/Abaurrea Alta,31,15,127,161000.0,,,0.0,0.0
2015,31004,Abaurrepea/Abaurrea Baja,31,15,35,0.0,,,0.0,0.0
2015,15001,Abegondo,15,12,5586,0.0,,,3917896.31,701.39
2015,42001,Abejar,42,7,336,591000.0,134850.0,401.34,562050.0,1672.77
2015,44002,Abejuela,44,2,54,25000.0,,,0.0,0.0
2015,25001,Abella de la Conca,25,9,170,0.0,,,0.0,0.0
2015,2001,Abengibre,2,8,782,113000.0,35243.2,45.07,498357.88,637.29
2015,13001,Abenójar,13,8,1471,433000.0,,,0.0,0.0
2015,31005,Aberin,31,15,376,0.0,,,0.0,0.0
2015,10002,Abertura,10,11,429,0.0,100.0,0.23,311788.61,726.78
2015,49002,Abezames,49,7,66,0.0,,,0.0,0.0
2015,16001,Abia de la Obispalía,16,8,77,0.0,,,0.0,0.0
2015,34003,Abia de las Torres,34,7,184,0.0,,,0.0,0.0
2015,22001,Abiego,22,2,253,43000.0,9916.0,39.19,305317.0,1206.79
2015,22002,Abizanda,22,2,142,0.0,,,449284.0,3163.97
2015,4001,Abla,4,1,1342,424000.0,112000.0,83.46,2189000.0,1631.14
2015,19002,Ablanque,19,8,74,0.0,,,0.0,0.0
2015,31006,Ablitas,31,15,2520,1235000.0,,,0.0,0.0
2015,8001,Abrera,8,9,12071,22000.0,,,13296799.12,1101.55
2015,4002,Abrucena,4,1,1279,132000.0,26000.0,20.33,1336850.0,1045.23
2015,37001,Abusejo,37,7,213,0.0,,,115348.35,541.54
2015,28001,"Acebeda, La",28,13,65,0.0,,,0.0,0.0
